# x	y	u	v	mask
  5.8485	  1.0620	 -2.5767	  2.5833	  0.0000
  6.5012	  1.0620	 -2.4433	  2.2622	  0.0000
  7.1540	  1.0620	 -2.4749	  2.5171	  0.0000
  7.8067	  1.0620	 -2.6462	  2.4489	  0.0000
  8.4594	  1.0620	 -1.8213	  2.0751	  1.0000
  9.1121	  1.0620	 -1.6277	  2.0412	  1.0000
  9.7648	  1.0620	 -1.1263	  1.9221	  0.0000
 10.4175	  1.0620	 -0.8903	  1.7767	  0.0000
 11.0702	  1.0620	 -0.7697	  1.5754	  0.0000
 11.7230	  1.0620	 -0.9560	  1.4415	  0.0000
 12.3757	  1.0620	 -0.9691	  1.5435	  0.0000
 13.0284	  1.0620	 -1.0680	  1.3410	  0.0000
 13.6811	  1.0620	 -0.9431	  1.6359	  1.0000
 14.3338	  1.0620	 -0.9208	  1.6790	  1.0000
 14.9865	  1.0620	 -0.8680	  1.7127	  1.0000
  0.6268	  0.4092	 -4.8856	  5.1134	  0.0000
  1.2795	  0.4092	 -4.4574	  5.1046	  0.0000
  1.9322	  0.4092	 -2.9884	  3.4828	  1.0000
  2.5850	  0.4092	  2.5070	  2.6348	  0.0000
  3.2377	  0.4092	 -2.5406	  2.6645	  1.0000
  3.8904	  0.4092	  1.5056	 -2.5967	  0.0000
  4.5431	  0.4092	 -2.2041	  1.9219	  1.0000
  5.1958	  0.4092	 -2.3171	  1.7548	  1.0000
  5.8485	  0.4092	 -2.2436	  1.7344	  1.0000
  6.5012	  0.4092	 -2.3200	  1.9650	  1.0000
  7.1540	  0.4092	 -2.2408	  2.0409	  1.0000
  7.8067	  0.4092	 -1.6887	  2.3746	  0.0000
  8.4594	  0.4092	 -1.8397	  2.1057	  1.0000
  9.1121	  0.4092	 -1.5984	  2.0705	  1.0000
  9.7648	  0.4092	 -1.3754	  1.9432	  1.0000
 10.4175	  0.4092	 -0.8707	  2.0248	  0.0000
 11.0702	  0.4092	 -0.5501	  1.6943	  0.0000
 11.7230	  0.4092	 -0.5458	  1.3556	  0.0000
 12.3757	  0.4092	 -0.5149	  1.1414	  0.0000
 13.0284	  0.4092	 -0.7506	  1.0318	  0.0000
 13.6811	  0.4092	 -0.6141	  0.9802	  0.0000
 14.3338	  0.4092	 -0.7725	  1.6185	  1.0000
 14.9865	  0.4092	  2.6556	  2.5396	  0.0000
